Tên_mặt_hàng,Thị_trường,Loại_giá,Đơn_vị_tính,Loại_tiền,Nguồn,Ngày,Giá,Ngành_hàng
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/23/2025 12:00:00 AM,129000.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/23/2025 12:00:00 AM,129000.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/23/2025 12:00:00 AM,129000.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/23/2025 12:00:00 AM,129000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/23/2025 12:00:00 AM,128400.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/22/2025 12:00:00 AM,129133.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/22/2025 12:00:00 AM,129150.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/22/2025 12:00:00 AM,129000.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/22/2025 12:00:00 AM,129000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/22/2025 12:00:00 AM,128500.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/21/2025 12:00:00 AM,129700.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/21/2025 12:00:00 AM,129700.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/21/2025 12:00:00 AM,129500.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/21/2025 12:00:00 AM,129500.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/21/2025 12:00:00 AM,129000.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/18/2025 12:00:00 AM,1327333333.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/18/2025 12:00:00 AM,132750.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/18/2025 12:00:00 AM,1327333333.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/18/2025 12:00:00 AM,132700.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/18/2025 12:00:00 AM,132700.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/17/2025 12:00:00 AM,1335333333.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/17/2025 12:00:00 AM,133550.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/17/2025 12:00:00 AM,1335333333.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/17/2025 12:00:00 AM,133500.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/17/2025 12:00:00 AM,132600.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/16/2025 12:00:00 AM,1321333333.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/16/2025 12:00:00 AM,132150.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/16/2025 12:00:00 AM,1319333333.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/16/2025 12:00:00 AM,131900.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/16/2025 12:00:00 AM,131300.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/15/2025 12:00:00 AM,130200.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/15/2025 12:00:00 AM,130200.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/15/2025 12:00:00 AM,130000.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/15/2025 12:00:00 AM,130000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/15/2025 12:00:00 AM,129300.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/14/2025 12:00:00 AM,125000.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/14/2025 12:00:00 AM,125200.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/14/2025 12:00:00 AM,125000.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/14/2025 12:00:00 AM,125000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/14/2025 12:00:00 AM,124300.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/11/2025 12:00:00 AM,118967.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/11/2025 12:00:00 AM,118950.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/11/2025 12:00:00 AM,118967.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/11/2025 12:00:00 AM,119000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/11/2025 12:00:00 AM,117300.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/10/2025 12:00:00 AM,117967.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/10/2025 12:00:00 AM,117950.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/10/2025 12:00:00 AM,117967.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/10/2025 12:00:00 AM,118000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/10/2025 12:00:00 AM,116000.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/9/2025 12:00:00 AM,119967.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/9/2025 12:00:00 AM,119950.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/9/2025 12:00:00 AM,119967.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/9/2025 12:00:00 AM,120000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/9/2025 12:00:00 AM,118000.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/8/2025 12:00:00 AM,127167.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/8/2025 12:00:00 AM,127150.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/8/2025 12:00:00 AM,126967.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/8/2025 12:00:00 AM,127000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/8/2025 12:00:00 AM,126000.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/7/2025 12:00:00 AM,126967.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/7/2025 12:00:00 AM,127150.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/7/2025 12:00:00 AM,126967.0,Cà phê
Cà phê Robusta nhân xô,Kon Tum,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/7/2025 12:00:00 AM,127000.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/7/2025 12:00:00 AM,126000.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/4/2025 12:00:00 AM,132250.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/4/2025 12:00:00 AM,132167.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/4/2025 12:00:00 AM,133467.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/4/2025 12:00:00 AM,132267.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/3/2025 12:00:00 AM,133467.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/3/2025 12:00:00 AM,133550.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/3/2025 12:00:00 AM,133467.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/3/2025 12:00:00 AM,132500.0,Cà phê
Cà phê Robusta nhân xô,Đắk Lắk,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/2/2025 12:00:00 AM,133467.0,Cà phê
Cà phê Robusta nhân xô,Đắk Nông,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/2/2025 12:00:00 AM,133550.0,Cà phê
Cà phê Robusta nhân xô,Gia Lai,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/2/2025 12:00:00 AM,133467.0,Cà phê
Cà phê Robusta nhân xô,Lâm Đồng,Thương lái thu mua,Vnđ/Kg,VNĐ,CTV địa phương,4/2/2025 12:00:00 AM,132300.0,Cà phê
