Tên_mặt_hàng,Ngày,Actual_Giá,Forecasted_Giá
19,2023-03-08,7000.0,31061.45703125
19,2023-03-10,7000.0,30397.94140625
19,2023-03-15,7000.0,29918.44921875
19,2023-03-17,7000.0,28594.76171875
19,2023-03-22,7200.0,28027.64453125
19,2023-03-29,7200.0,26523.72265625
19,2023-04-05,7000.0,24264.75
19,2023-04-07,7000.0,21953.357421875
19,2023-04-12,7022.0,21296.734375
19,2023-04-14,7022.0,19661.0234375
19,2023-04-19,7022.0,19042.615234375
19,2023-04-21,7022.0,17662.8828125
19,2023-04-25,7022.0,17216.720703125
19,2023-04-27,7022.0,16888.947265625
19,2023-05-03,7000.0,16965.134765625
19,2023-05-05,7000.0,17653.798828125
19,2023-05-10,7022.0,18041.865234375
19,2023-05-12,7022.0,18912.4296875
19,2023-05-17,7022.0,19220.515625
19,2023-05-19,7022.0,19882.78125
19,2023-05-24,7022.0,20108.515625
19,2023-05-26,7022.0,20574.1796875
19,2023-06-07,7000.0,20731.03125
19,2023-06-09,7000.0,21406.78515625
19,2023-06-14,7022.0,21482.125
19,2023-06-16,7022.0,21638.73046875
19,2023-06-21,7022.0,21690.203125
19,2023-06-23,7022.0,21795.89453125
19,2023-06-28,7022.0,21830.1015625
19,2023-06-30,7022.0,21898.82421875
19,2023-07-05,7000.0,21920.5
19,2023-07-07,7000.0,21963.640625
19,2023-07-12,7000.0,21977.015625
19,2023-07-14,7000.0,22001.96484375
19,2023-07-19,7000.0,22009.4296875
19,2023-07-21,7000.0,22023.103515625
19,2023-07-26,7000.0,22026.9453125
19,2023-07-28,7000.0,22033.3203125
19,2023-08-02,7000.0,22034.765625
19,2023-08-04,7000.0,22036.068359375
19,2023-08-09,7000.0,22035.6875
19,2023-08-11,7000.0,22032.42578125
19,2023-08-16,7000.0,22030.099609375
19,2023-08-18,7000.0,22021.06640625
19,2023-08-23,7000.0,22015.94921875
19,2023-08-30,7000.0,21998.328125
19,2023-09-06,7000.0,21957.47265625
19,2023-09-08,7000.0,21888.9609375
19,2023-09-13,6800.0,21863.044921875
19,2023-09-15,6800.0,21782.046875
19,2023-09-20,7000.0,21741.76171875
19,2023-09-22,7000.0,21617.998046875
19,2023-09-27,7000.0,21557.716796875
19,2023-09-29,7500.0,21374.30078125
19,2023-10-03,7500.0,21281.69921875
19,2023-10-05,7500.0,21064.55078125
19,2023-10-10,7500.0,20938.28515625
19,2023-10-12,7600.0,20553.048828125
19,2023-10-17,7600.0,20370.5625
19,2023-10-19,7600.0,19830.619140625
19,2023-10-24,9000.0,19573.91796875
19,2023-10-26,9000.0,18825.666015625
19,2023-10-31,9000.0,18484.25
19,2023-11-02,9000.0,17522.978515625
19,2023-11-07,9000.0,17171.89453125
19,2023-11-09,9200.0,16909.0703125
19,2023-11-14,9200.0,16878.8359375
19,2023-11-16,9200.0,17860.7421875
19,2023-11-21,9200.0,18419.98828125
19,2023-11-23,9200.0,20008.69921875
19,2023-11-28,9200.0,20692.353515625
19,2023-11-30,9200.0,22401.6484375
19,2023-12-05,9200.0,23082.166015625
19,2023-12-07,9200.0,24751.333984375
19,2023-12-12,9200.0,25419.890625
19,2023-12-14,9200.0,27012.15625
19,2023-12-19,9200.0,27623.732421875
19,2024-01-03,9800.0,29062.79296875
19,2024-01-05,9800.0,20659.458984375
19,2024-01-10,9800.0,20673.607421875
19,2024-01-12,9800.0,20704.888671875
19,2024-01-17,9800.0,20715.69140625
19,2024-01-19,9800.0,20738.296875
19,2024-01-24,9800.0,20745.564453125
19,2024-01-26,9800.0,20759.203125
19,2024-01-31,9800.0,20762.81640625
19,2024-02-02,9800.0,20767.19921875
19,2024-02-07,9800.0,20767.037109375
19,2024-02-09,9800.0,20762.01953125
19,2024-02-14,9800.0,20758.16015625
19,2024-02-16,9800.0,20743.9140625
19,2024-02-21,9800.0,20736.40625
19,2024-02-23,9800.0,20713.1796875
19,2024-02-28,9800.0,20702.12890625
19,2024-03-01,7200.0,20670.271484375
19,2024-03-06,7200.0,20655.904296875
19,2024-03-08,8200.0,20616.046875
19,2024-03-13,8200.0,20598.56640625
19,2024-03-15,8500.0,20551.42578125
19,2024-03-20,8500.0,20531.8046875
19,2024-03-22,8500.0,20480.490234375
19,2024-03-27,8500.0,20458.88671875
19,2024-03-29,8500.0,20403.13671875
19,2024-04-03,8500.0,20380.8359375
19,2024-04-05,8500.0,20323.546875
19,2024-04-10,8000.0,20300.3125
19,2024-04-12,8000.0,20241.248046875
19,2024-04-17,8000.0,20217.58984375
19,2024-04-19,8000.0,20157.978515625
19,2024-04-24,8000.0,20133.98046875
19,2024-04-26,8000.0,20074.6796875
19,2024-05-01,8200.0,20052.0234375
19,2024-05-03,8200.0,19996.49609375
19,2024-05-08,8200.0,19974.708984375
19,2024-05-10,8200.0,19922.52734375
19,2024-05-15,8200.0,19902.62109375
19,2024-05-17,8200.0,19854.25
19,2024-05-22,8300.0,19835.453125
19,2024-05-24,8300.0,19791.05859375
19,2024-05-29,8100.0,19774.333984375
19,2024-05-31,8100.0,19734.58984375
19,2024-06-05,8100.0,19719.947265625
19,2024-06-07,8100.0,19685.734375
19,2024-06-12,8100.0,19672.8046875
19,2024-06-14,8100.0,19642.375
19,2024-06-19,8100.0,19631.18359375
19,2024-06-21,8100.0,19605.4609375
19,2024-06-26,8100.0,19596.056640625
19,2024-06-28,8100.0,19574.60546875
19,2024-07-03,7500.0,19567.0390625
19,2024-07-05,7500.0,19549.921875
19,2024-07-10,7500.0,19543.810546875
19,2024-07-12,7500.0,19530.41015625
19,2024-07-17,7500.0,19525.8125
19,2024-07-19,7500.0,19516.23046875
19,2024-07-24,7500.0,19513.1328125
19,2024-07-26,7500.0,19507.2265625
19,2024-07-31,7500.0,19505.60546875
19,2024-08-02,7500.0,19503.388671875
19,2024-08-07,7500.0,19503.24609375
19,2024-08-09,7400.0,19504.73046875
19,2024-08-14,7400.0,19506.064453125
19,2024-08-16,7400.0,19511.23828125
19,2024-08-21,7400.0,19514.0390625
19,2024-08-23,7400.0,19522.890625
19,2024-08-28,7400.0,19527.19140625
19,2024-08-30,7400.0,19539.865234375
19,2024-09-04,7400.0,19545.69140625
19,2024-09-06,7400.0,19562.27734375
19,2024-09-11,7500.0,19569.6328125
19,2024-09-13,7500.0,19590.5703125
19,2024-09-18,7500.0,19599.78515625
19,2024-09-20,7500.0,19625.0
19,2024-09-25,7400.0,19636.03515625
19,2024-09-27,7400.0,19665.8515625
19,2024-10-02,8200.0,19678.58203125
19,2024-10-04,8200.0,19712.46875
19,2024-10-09,8200.0,19726.8828125
19,2024-10-11,8250.0,19765.9609375
19,2024-10-16,8250.0,19782.951171875
19,2024-10-18,8200.0,19827.6015625
19,2024-10-23,8200.0,19846.32421875
19,2024-10-25,8200.0,19894.82421875
19,2024-10-30,8200.0,19914.771484375
19,2024-11-01,8200.0,19967.046875
19,2024-11-06,8200.0,19988.77734375
19,2024-11-08,8200.0,20044.767578125
19,2024-11-13,8200.0,20067.8828125
19,2024-11-15,8200.0,20126.78515625
19,2024-11-20,8200.0,20150.63671875
19,2024-11-22,8200.0,20210.4921875
19,2024-11-27,8200.0,20234.5703125
19,2024-11-29,8200.0,20294.66796875
19,2024-12-04,8200.0,20319.11328125
19,2024-12-06,8200.0,20378.986328125
19,2024-12-09,8800.0,20402.271484375
19,2024-12-11,8800.0,19591.73828125
19,2024-12-13,8800.0,19601.31640625
19,2024-12-16,8800.0,19610.744140625
19,2024-12-18,8800.0,19624.3984375
19,2024-12-20,8700.0,19633.275390625
19,2025-03-28,7800.0,19642.0625
19,2025-03-31,9225.0,24588.650390625
19,2025-04-02,9225.0,20093.0234375
19,2025-04-04,7800.0,20287.66015625
19,2025-04-25,7800.0,22280.5078125
19,2025-05-09,7800.0,16888.947265625
19,2025-05-16,7800.0,18750.85546875
20,2024-02-07,10500.0,20918.248046875
20,2024-02-09,10200.0,20913.341796875
20,2024-02-14,10200.0,20909.591796875
20,2024-02-16,10200.0,20895.76171875
20,2024-02-21,10200.0,20888.4609375
20,2024-02-23,10500.0,20865.859375
